故障事由コード,故障事由名称
001,ＴＯＫ
002,部品不良
003,制作不良
004,取扱故障
005,その他
006,ＴＣＣ
007,調整不良
008,サービスＴＯＫ
009,故障扱い外
100,保険品
101,保険扱い外
199,保険その他
A01,発着信不良
A02,発信ＢＴ着信圏外
A03,発信ＢＴ
A04,発信ＢＴが多い
A05,発信無音
A06,発信欠番トーキー
A07,発信誤接続
A08,発信不良
A09,発信時ダイヤル送
A10,着信圏外トーキー
A11,着信圏外が多い
A12,着信ＢＴ
A13,着信無音
A14,着信欠番トーキー
A15,着信誤接続
A16,着信不良
A99,発着信その他
B01,通話中雑音が多い
B02,上り雑音が多い
B03,下り雑音が多い
B04,通話が途切れる
B05,通話が切断する
B06,通話が混信する
B07,通話中エコーする
B08,通話中異音がする
B09,上り通話異音多い
B10,下り通話異音多い
B11,遠話
B12,上り音声遠話
B13,下り音声遠話
B14,片通話
B15,上り音声不通
B16,下り音声不通
B17,通話中に音量変化
B18,上り通話音量変化
B19,下り通話音量変化
B20,上り下り音声不通
B99,通話品質その他
C01,圏外表示常灯
C02,圏外表示が多い
C03,圏外表示点滅
C04,ＮＳランプ点滅
C05,電界表示が不安定
C07,電界表示出ず
C99,アンテナ表示他
D01,電源表示のみ点灯
D02,電源表示のみ点灯
D03,電源＊ＡＮＴ表示
D04,電源＊ＡＮＴ表示
D05,ＡＮＴマーク点滅
D06,ＡＮＴマーク点滅
D07,エラー表示常灯
D08,エラー表示が多い
D09,×××××表示
D10,×××××表示ピ
D11,＊ＡＮＴ表示点滅
D12,＊ＡＮＴ表示点滅
D13,＊ＡＮＴ表示点滅
D14,横バー表示
D15,横バー表示ピー音
D16,ピー音
D17,電源切れ表示
D99,異常関連その他
E01,表示が点滅する
E02,全表示が点滅する
E03,全表示消灯
E04,表示が薄い
E05,表示が欠ける
E06,照明常灯
E07,照明不灯
E08,照明が暗い
E09,照明がちらつく
E10,文字化け
E11,着信ランプ常灯
E12,着信ランプ不灯
E13,着信ランプ点滅
